1	1	2
1	2	2
1	3	1
1	4	3
1	5	1
1	6	2
1	7	4
1	8	5
1	9	3
1	10	2
2	1	2
2	2	2
2	3	2
2	4	5
2	5	1
2	6	4
2	7	3
2	8	2
2	9	4
2	10	5
3	1	4
3	2	2
3	3	1
3	4	3
3	5	2
3	6	1
3	7	5
3	8	4
3	9	2
3	10	3
4	1	2
4	2	3
4	3	1
4	4	2
4	5	2
4	6	2
4	7	4
4	8	5
4	9	3
4	10	2
5	1	1
5	2	2
5	3	3
5	4	2
5	5	1
5	6	2
5	7	2
5	8	4
5	9	5
5	10	3
6	1	2
6	2	2
6	3	1
6	4	3
6	5	1
6	6	2
6	7	3
6	8	5
6	9	2
6	10	4
7	1	1
7	2	1
7	3	2
7	4	5
7	5	1
7	6	1
7	7	3
7	8	2
7	9	4
7	10	5
8	1	1
8	2	2
8	3	1
8	4	3
8	5	2
8	6	2
8	7	4
8	8	3
8	9	5
8	10	2
9	1	3
9	2	4
9	3	1
9	4	4
9	5	1
9	6	2
9	7	4
9	8	5
9	9	2
9	10	3
10	1	1
10	2	3
10	3	2
10	4	4
10	5	2
10	6	2
10	7	2
10	8	5
10	9	4
10	10	3
11	1	3
11	2	2
11	3	2
11	4	5
11	5	2
11	6	4
11	7	4
11	8	2
11	9	3
11	10	5
12	1	1
12	2	2
12	3	2
12	4	4
12	5	1
12	6	1
12	7	2
12	8	4
12	9	3
12	10	5
13	1	1
13	2	4
13	3	3
13	4	4
13	5	1
13	6	1
13	7	3
13	8	5
13	9	4
13	10	2
14	1	1
14	2	3
14	3	1
14	4	2
14	5	1
14	6	2
14	7	3
14	8	5
14	9	2
14	10	4
15	1	1
15	2	4
15	3	2
15	4	2
15	5	1
15	6	1
15	7	3
15	8	5
15	9	4
15	10	2
16	1	2
16	2	2
16	3	4
16	4	1
16	5	1
16	6	1
16	7	4
16	8	3
16	9	5
16	10	2
17	1	3
17	2	2
17	3	2
17	4	2
17	5	3
17	6	3
17	7	5
17	8	3
17	9	4
17	10	2
18	1	2
18	2	2
18	3	2
18	4	1
18	5	1
18	6	2
18	7	3
18	8	5
18	9	2
18	10	4
19	1	2
19	2	2
19	3	4
19	4	2
19	5	2
19	6	3
19	7	3
19	8	2
19	9	5
19	10	4
20	1	2
20	2	2
20	3	4
20	4	2
20	5	1
20	6	1
20	7	3
20	8	4
20	9	5
20	10	2
21	1	2
21	2	3
21	3	2
21	4	3
21	5	1
21	6	2
21	7	3
21	8	5
21	9	4
21	10	2
22	1	3
22	2	2
22	3	2
22	4	5
22	5	1
22	6	4
22	7	4
22	8	3
22	9	2
22	10	5
23	1	4
23	2	2
23	3	2
23	4	2
23	5	2
23	6	2
23	7	5
23	8	4
23	9	2
23	10	3
24	1	1
24	2	1
24	3	4
24	4	2
24	5	2
24	6	3
24	7	4
24	8	2
24	9	5
24	10	3
25	1	3
25	2	3
25	3	1
25	4	3
25	5	1
25	6	1
25	7	4
25	8	5
25	9	3
25	10	2
26	1	4
26	2	1
26	3	2
26	4	2
26	5	1
26	6	3
26	7	5
26	8	2
26	9	4
26	10	3
27	1	2
27	2	2
27	3	2
27	4	1
27	5	1
27	6	2
27	7	3
27	8	4
27	9	2
27	10	5
28	1	2
28	2	4
28	3	2
28	4	2
28	5	2
28	6	1
28	7	4
28	8	5
28	9	3
28	10	2
29	1	2
29	2	2
29	3	2
29	4	2
29	5	1
29	6	1
29	7	4
29	8	5
29	9	3
29	10	2
30	1	4
30	2	2
30	3	2
30	4	2
30	5	3
30	6	2
30	7	5
30	8	4
30	9	2
30	10	3
31	1	2
31	2	2
31	3	3
31	4	2
31	5	2
31	6	3
31	7	3
31	8	4
31	9	5
31	10	2
32	1	2
32	2	2
32	3	1
32	4	1
32	5	1
32	6	1
32	7	4
32	8	3
32	9	2
32	10	5
33	1	1
33	2	1
33	3	3
33	4	2
33	5	2
33	6	2
33	7	3
33	8	4
33	9	5
33	10	2
34	1	2
34	2	2
34	3	2
34	4	1
34	5	2
34	6	2
34	7	3
34	8	5
34	9	2
34	10	4
35	1	2
35	2	1
35	3	2
35	4	5
35	5	1
35	6	4
35	7	3
35	8	2
35	9	4
35	10	5
36	1	4
36	2	2
36	3	1
36	4	2
36	5	3
36	6	2
36	7	5
36	8	2
36	9	3
36	10	4
37	1	3
37	2	1
37	3	1
37	4	1
37	5	3
37	6	1
37	7	5
37	8	3
37	9	2
37	10	4
38	1	2
38	2	1
38	3	3
38	4	2
38	5	1
38	6	4
38	7	3
38	8	2
38	9	5
38	10	4
39	1	2
39	2	2
39	3	1
39	4	3
39	5	1
39	6	1
39	7	2
39	8	5
39	9	4
39	10	3
40	1	1
40	2	2
40	3	4
40	4	1
40	5	2
40	6	3
40	7	4
40	8	2
40	9	5
40	10	3
41	1	2
41	2	4
41	3	1
41	4	4
41	5	1
41	6	2
41	7	4
41	8	5
41	9	2
41	10	3
42	1	1
42	2	2
42	3	1
42	4	5
42	5	1
42	6	3
42	7	3
42	8	4
42	9	2
42	10	5
43	1	2
43	2	1
43	3	2
43	4	5
43	5	2
43	6	3
43	7	4
43	8	2
43	9	3
43	10	5
44	1	1
44	2	4
44	3	2
44	4	3
44	5	1
44	6	3
44	7	2
44	8	5
44	9	4
44	10	3
45	1	2
45	2	1
45	3	2
45	4	5
45	5	1
45	6	4
45	7	2
45	8	3
45	9	4
45	10	5
46	1	1
46	2	2
46	3	2
46	4	2
46	5	2
46	6	3
46	7	5
46	8	3
46	9	2
46	10	4
47	1	1
47	2	2
47	3	1
47	4	3
47	5	1
47	6	2
47	7	2
47	8	4
47	9	3
47	10	5
48	1	2
48	2	1
48	3	2
48	4	3
48	5	1
48	6	2
48	7	5
48	8	3
48	9	2
48	10	4
49	1	2
49	2	1
49	3	2
49	4	5
49	5	1
49	6	2
49	7	3
49	8	4
49	9	2
49	10	5
50	1	1
50	2	1
50	3	2
50	4	1
50	5	3
50	6	2
50	7	5
50	8	4
50	9	2
50	10	3
51	1	2
51	2	2
51	3	1
51	4	3
51	5	2
51	6	2
51	7	2
51	8	4
51	9	3
51	10	5
52	1	1
52	2	2
52	3	1
52	4	4
52	5	2
52	6	1
52	7	3
52	8	5
52	9	4
52	10	2
53	1	2
53	2	2
53	3	2
53	4	2
53	5	2
53	6	2
53	7	3
53	8	4
53	9	2
53	10	5
54	1	2
54	2	2
54	3	2
54	4	2
54	5	2
54	6	4
54	7	2
54	8	3
54	9	5
54	10	4
55	1	2
55	2	2
55	3	3
55	4	2
55	5	1
55	6	2
55	7	2
55	8	3
55	9	4
55	10	5
56	1	5
56	2	2
56	3	1
56	4	2
56	5	2
56	6	3
56	7	5
56	8	2
56	9	3
56	10	4
57	1	2
57	2	2
57	3	1
57	4	3
57	5	1
57	6	2
57	7	5
57	8	4
57	9	3
57	10	2
58	1	4
58	2	1
58	3	1
58	4	1
58	5	2
58	6	1
58	7	5
58	8	2
58	9	4
58	10	3
59	1	4
59	2	1
59	3	2
59	4	1
59	5	2
59	6	3
59	7	5
59	8	3
59	9	4
59	10	2
60	1	3
60	2	2
60	3	2
60	4	2
60	5	3
60	6	3
60	7	5
60	8	2
60	9	3
60	10	4
61	1	2
61	2	1
61	3	1
61	4	3
61	5	1
61	6	4
61	7	3
61	8	2
61	9	5
61	10	4
62	1	3
62	2	1
62	3	4
62	4	2
62	5	2
62	6	2
62	7	4
62	8	2
62	9	5
62	10	3
63	1	5
63	2	1
63	3	1
63	4	2
63	5	3
63	6	2
63	7	5
63	8	4
63	9	3
63	10	2
64	1	2
64	2	2
64	3	2
64	4	1
64	5	1
